Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Lahore Cantt ,Lahore ,,Punjab ,107713,58132,49568,0,0,0,107713,58132,49568,"470,046","246,521","223,508",0,0,0,"470,046","246,521","223,508",22.92%,23.58%,22.18%,0.00%,0.00%,0.00%,22.92%,23.58%,22.18%,100,141,88,1,1,1,156,182,145,4,4,4,1,1,1,4,4,4,81.01,83.12,78.57,-,-,-,81.01,83.12,78.57,"107,713",552
Lahore City ,Lahore ,,Punjab ,227645,126417,101112,0,0,0,227645,126417,101112,"1,049,980","554,986","494,868",0,0,0,"1,049,980","554,986","494,868",21.68%,22.78%,20.43%,0.00%,0.00%,0.00%,21.68%,22.78%,20.43%,83,123,68,1,1,1,140,166,122,2,2,2,1,1,1,2,2,2,80.36,81.64,78.92,-,-,-,80.36,81.64,78.92,"227,645",588
Model Town ,Lahore ,,Punjab ,190654,99540,91099,0,0,0,190654,99540,91099,"834,364","423,347","410,987",0,0,0,"834,364","423,347","410,987",22.85%,23.51%,22.17%,0.00%,0.00%,0.00%,22.85%,23.51%,22.17%,98,138,87,1,1,1,152,181,144,3,3,3,1,1,1,3,3,3,78.94,81.06,76.60,-,-,-,78.94,81.06,76.6,"190,654",582
Raiwind ,Lahore ,,Punjab ,72162,39811,32340,0,0,0,72162,39811,32340,"298,051","159,992","138,042",0,0,0,"298,051","159,992","138,042",24.21%,24.88%,23.43%,0.00%,0.00%,0.00%,24.21%,24.88%,23.43%,112,164,97,1,1,1,172,201,158,5,5,5,1,1,1,5,5,5,72.35,75.66,68.45,-,-,-,72.35,75.66,68.45,"72,162",485
Shalimar ,Lahore ,,Punjab ,120025,66224,53794,0,0,0,120025,66224,53794,"695,327","363,648","331,668",0,0,0,"695,327","363,648","331,668",17.26%,18.21%,16.22%,0.00%,0.00%,0.00%,17.26%,18.21%,16.22%,42,58,35,1,1,1,72,89,66,1,1,1,1,1,1,1,1,1,81.21,82.62,79.65,-,-,-,81.21,82.62,79.65,"120,025",558
Choubara ,Layyah ,,Punjab ,25438,11594,13842,21111,9060,12050,4327,2534,1792,86917,45166,41749,70262,36526,"33,735","16,655","8,640","8,014",29.27%,25.67%,33.16%,30.05%,24.80%,35.72%,25.98%,29.33%,22.36%,165,177,157,127,128,135,195,258,149,3,3,3,3,3,3,3,3,3,58.42,67.98,48.14,59.03,69.3,47.94,55.96,62.55,48.92,"25,438",243
Karor Lal Esan ,Layyah ,,Punjab ,46155,21109,25046,43121,19252,23869,3034,1857,1177,"198,922","102,429","96,493","174,152","89,688","84,464","24,770","12,741","12,029",23.20%,20.61%,25.96%,24.76%,21.47%,28.26%,12.25%,14.57%,9.78%,107,93,114,88,90,90,21,37,12,2,2,2,2,2,2,1,1,1,62.43,71.61,52.73,59.86,69.68,49.43,78.43,83.9,72.89,"46,155",391
Leiah ,Layyah ,,Punjab ,73614,34771,38843,65141,29492,35649,8473,5279,3194,"331,861","171,446","160,415","267,005","138,036","128,969","64,856","33,410","31,446",22.18%,20.28%,24.21%,24.40%,21.37%,27.64%,13.06%,15.80%,10.16%,91,87,101,86,88,87,28,49,17,1,1,1,1,1,1,2,2,2,62.34,71.24,52.92,57.77,67.77,47.16,78.18,83.34,72.76,"73,614",489
Dunyapur ,Lodhran ,,Punjab ,50741,25696,25045,47714,24063,23651,3027,1633,1394,"164,102","86,121","77,981","149,332","78,433","70,899","14,770","7,688","7,082",30.92%,29.84%,32.12%,31.95%,30.68%,33.36%,20.49%,21.24%,19.68%,184,213,150,151,183,115,121,145,110,1,1,1,1,1,1,2,2,2,55.66,64.52,46.34,54.29,63.51,44.57,68.95,74.37,63.33,"50,741",410
Kahror Pacca ,Lodhran ,,Punjab ,63459,32424,31034,53596,27136,26459,9863,5288,4575,"163,453","85,971","77,480","127,150","67,090","60,059","36,303","18,881","17,421",38.82%,37.72%,40.05%,42.15%,40.45%,44.06%,27.17%,28.01%,26.26%,231,271,206,207,250,178,208,238,177,2,2,2,2,2,2,3,3,3,49.81,59.15,39.74,45.77,55.8,34.88,62.85,70.05,55.22,"63,459",460
Lodhran ,Lodhran ,,Punjab ,100046,50695,49350,91731,46203,45528,8315,4492,3822,"251,161","131,811","119,349","208,283","109,597","98,686","42,878","22,214",20663,39.83%,38.46%,41.35%,44.04%,42.16%,46.13%,19.39%,20.22%,18.50%,240,280,212,214,264,189,101,124,95,3,3,3,3,3,3,1,1,1,50.1,58.87,40.68,45.37,54.71,35.31,70.75,77.12,63.99,"100,046",545
Malakwal ,Mandi Bahauddin ,,Punjab ,27684,14427,13257,25997,13432,12565,1687,995,692,"112,083","57,385","54,696","98,687","50,521","48,164","13,396","6,864","6,532",24.70%,25.14%,24.24%,26.34%,26.59%,26.09%,12.59%,14.50%,10.59%,118,166,102,97,152,82,22,35,20,3,3,3,3,3,3,1,1,1,66.28,72.31,60.26,64.04,70.43,57.64,82.48,86.21,78.92,"27,684",259
Mandi Bahauddin ,Mandi Bahauddin ,,Punjab ,46758,25176,21581,35637,19103,16533,11121,6073,5048,"203,833","105,126","98,705","141,909","73,223","68,684","61,924","31,903","30,021",22.94%,23.95%,21.86%,25.11%,26.09%,24.07%,17.96%,19.04%,16.81%,101,144,83,90,145,73,80,101,74,2,2,2,2,2,2,3,3,3,72.69,76.31,69.13,68.99,73.12,64.95,81.18,83.47,78.87,"46,758",396
Phalia ,Mandi Bahauddin ,,Punjab ,35957,19190,16766,33167,17629,15537,2790,1561,1229,"169,998","88,128","81,867","153,017","79,199","73,815","16,981","8,929","8,052",21.15%,21.78%,20.48%,21.68%,22.26%,21.05%,16.43%,17.48%,15.26%,77,113,69,69,98,56,55,73,54,1,1,1,1,1,1,2,2,2,70.11,74.99,65.31,68.98,74.05,63.99,80.37,83.63,77.2,"35,957",327
Isakhel ,Mianwali ,,Punjab ,33842,12221,21621,28635,9914,18721,5207,2307,2900,"116,504","60,144","56,360","91,522","47,333","44,189","24,982","12,811","12,171",29.05%,20.32%,38.36%,31.29%,20.95%,42.37%,20.84%,18.01%,23.83%,162,89,194,140,84,168,129,84,162,3,2,3,3,2,3,2,2,2,55.02,72.04,38.41,52.23,70.68,34.16,64.18,76.54,52.26,"33,842",308
Mianwali ,Mianwali ,,Punjab ,57255,23700,33552,51300,20731,30566,5955,2969,2986,"234,137","121,783","112,351","194,718","101,504","93,211","39,419","20,279","19,140",24.45%,19.46%,29.86%,26.35%,20.42%,32.79%,15.11%,14.64%,15.60%,115,73,138,98,77,111,43,40,59,1,1,1,1,1,1,1,1,1,66.09,80.78,50.70,63.46,79.34,46.92,77.79,87.1,67.79,"57,255",438
Piplan ,Mianwali ,,Punjab ,37149,16563,20584,30341,12869,17471,6808,3694,3113,"131,025","68,789","62,233","103,368","54,032","49,334","27,657","14,757","12,899",28.35%,24.08%,33.08%,29.35%,23.82%,35.41%,24.62%,25.03%,24.13%,154,151,155,121,114,131,177,202,164,2,3,2,2,3,2,3,3,3,63.46,76.04,50.05,61.34,74.92,46.86,70.54,79.76,60.69,"37,149",338
Jalalpur Pirwala ,Multan ,,Punjab ,92427,41171,51254,85077,37713,47362,7350,3458,3892,"192,772","96,969","95,801","165,820","83,316","82,502","26,952","13,653","13,299",47.95%,42.46%,53.50%,51.31%,45.27%,57.41%,27.27%,25.33%,29.27%,305,328,291,270,291,255,212,207,200,4,4,4,4,4,4,4,4,4,38.5,48.39,28.60,34.8,45.39,24.19,58.92,64.93,52.92,"92,427",531
Multan City ,Multan ,,Punjab ,153731,76097,77619,36801,17846,18954,116930,58251,58665,"683,939","345,717","338,205","109,848","55,402","54,445","574,091","290,315","283,760",22.48%,22.01%,22.95%,33.50%,32.21%,34.81%,20.37%,20.06%,20.67%,93,116,94,160,190,125,117,120,125,1,1,1,1,1,1,2,2,2,73.65,76.73,70.38,61.87,66.07,57.36,75.69,78.6,72.63,"153,731",573
Multan Saddar ,Multan ,,Punjab ,154691,71788,82898,151424,70302,81117,3267,1486,1781,"438,669","221,985","216,677","418,030","211,590","206,433","20,639","10,395","10,244",35.26%,32.34%,38.26%,36.22%,33.23%,39.29%,15.83%,14.30%,17.39%,208,233,191,175,195,155,50,33,81,2,2,3,2,2,2,1,1,1,52.01,59.93,43.74,50.73,58.79,42.33,74.1,79.7,68.26,"154,691",574
Shujabad ,Multan ,,Punjab ,74527,35109,39416,64992,30328,34662,9535,4781,4754,"207,650","104,576","103,071","163,691","82,429","81,259","43,959","22,147","21,812",35.89%,33.57%,38.24%,39.70%,36.79%,42.66%,21.69%,21.59%,21.80%,212,239,190,191,218,170,141,151,141,3,3,2,3,3,3,3,3,3,53.87,62,45.47,50,59.08,40.64,66.96,71.86,61.89,"74,527",491
Alipur ,Muzaffargarh ,,Punjab ,122050,56205,65844,104922,47622,57299,17128,8583,8545,"239,247","122,317","116,928","185,394","94,428","90,965","53,853","27,889","25,963",51.01%,45.95%,56.31%,56.59%,50.43%,62.99%,31.81%,30.78%,32.91%,339,360,312,314,331,291,248,271,228,5,5,5,5,5,5,4,4,4,39.15,47.23,30.69,32.65,41.17,23.74,58.97,65.7,51.93,"122,050",560
Chowk Sarwar Shaheed ,Muzaffargarh ,,Punjab ,48922,20738,28184,45409,19104,26305,3513,1634,1879,"134,100","66,001","68,098","115,381","56,918","58,462","18,719",9083,9636,36.48%,31.42%,41.39%,39.36%,33.56%,45.00%,18.77%,17.99%,19.50%,216,226,213,187,198,184,90,83,107,2,1,2,2,1,2,1,1,2,55.5,65.25,45.63,52.27,62.92,41.43,72.45,77.6,67.33,"48,922",405
Jatoi ,Muzaffargarh ,,Punjab ,141197,66074,75113,114810,53559,61247,26387,12515,13866,285249,145149,"140,089","216,687","110,704","105,978","68,562","34,445","34,111",49.50%,45.52%,53.62%,52.98%,48.38%,57.79%,38.49%,36.33%,40.65%,322,354,293,285,312,261,296,310,281,4,4,4,4,4,4,5,5,5,40.67,48.85,32.19,38.61,47.06,29.8,46.62,54.05,39.03,"141,197",571
Kot Addu ,Muzaffargarh ,,Punjab ,122054,56026,66027,109887,50021,59865,12167,6005,6162,"343,273","170,959","172,313","279,550","139,653","139,896","63,723","31,306","32,417",35.56%,32.77%,38.32%,39.31%,35.82%,42.79%,19.09%,19.18%,19.01%,209,237,192,185,210,171,97,104,99,1,2,1,1,2,1,2,2,1,58.19,66.6,49.58,53.83,62.92,44.47,74.11,80.29,67.95,"122,054",561
Muzaffargarh ,Muzaffargarh ,,Punjab ,276410,131152,145253,259087,122109,136973,17323,9043,8280,"610,831","312,429","298,394","535,210","273,663","261,539","75,621","38,766","36,855",45.25%,41.98%,48.68%,48.41%,44.62%,52.37%,22.91%,23.33%,22.47%,286,323,256,244,283,220,155,175,150,3,3,3,3,3,3,3,3,3,46.84,54.07,39.23,42.83,50.5,34.77,69.86,74.42,65.03,"276,410",589
Nankana Sahib ,Nankana Sahib ,,Punjab ,76681,37549,39130,71848,34998,36849,4833,2551,2281,"313,101","159,032","154,066","275,478","139,994","135,482","37,623","19,038","18,584",24.49%,23.61%,25.40%,26.08%,25.00%,27.20%,12.85%,13.40%,12.27%,116,142,111,94,131,86,26,25,28,3,3,3,3,3,3,1,1,1,59.02,65.42,52.22,56.1,62.87,48.88,78.74,83,74.37,"76,681",495
Sangla Hill ,Nankana Sahib ,,Punjab ,13902,6983,6919,8281,4233,4048,5621,2750,2871,"71,892","35,493","36,399","44,554","22,006","22,548","27,338","13,487","13,851",19.34%,19.67%,19.01%,18.59%,19.24%,17.95%,20.56%,20.39%,20.73%,59,79,54,45,65,39,125,127,128,1,1,1,1,1,1,2,2,2,72.08,75.26,68.91,69.62,73.01,66.22,76.04,78.91,73.21,"13,902",140
Shah Kot ,Nankana Sahib ,,Punjab ,17856,8869,8987,11511,5850,5661,6345,3019,3326,"80,276","39,885","40,390","55,815","27,586","28,228","24,461","12,299",12162,22.24%,22.24%,22.25%,20.62%,21.21%,20.05%,25.94%,24.55%,27.35%,92,117,90,60,85,49,193,198,184,2,2,2,2,2,2,3,3,3,69.28,72.74,65.76,68.38,71.94,64.74,71.37,74.59,68.11,"17,856",181
Narowal ,Narowal ,,Punjab ,27782,15768,12014,21212,12105,9107,6570,3663,2907,"191,596","98,667","92,928","145,448","74,906","70,541","46,148","23,761","22,387",14.50%,15.98%,12.93%,14.58%,16.16%,12.91%,14.24%,15.42%,12.99%,26,38,18,33,44,17,35,45,31,2,3,2,3,3,1,2,2,2,76.78,80.61,72.78,74.65,78.98,70.11,83.01,85.44,80.51,"27,782",260
Shakargarh ,Narowal ,,Punjab ,31670,16919,14751,25370,13612,11758,6300,3307,2993,"212,742","108,872","103,867","177,900","90,886","87,013","34,842","17,986","16,854",14.89%,15.54%,14.20%,14.26%,14.98%,13.51%,18.08%,18.39%,17.76%,29,36,22,30,36,22,81,93,88,3,2,3,1,1,3,3,3,3,76.28,81.38,70.95,75.6,81,69.95,79.65,83.28,75.89,"31,670",296
Zafarwal ,Narowal ,,Punjab ,19582,10759,8821,18288,10032,8254,1294,727,567,"141,381","71,982","69,396","126,235","64,135","62,097","15,146","7,847","7,299",13.85%,14.95%,12.71%,14.49%,15.64%,13.29%,8.54%,9.26%,7.77%,23,33,16,31,42,20,4,5,5,1,1,1,2,2,2,1,1,1,71.72,76.59,66.69,70.4,75.41,65.2,82.91,86.66,79.14,"19,582",192
Depalpur ,Okara ,,Punjab ,134713,66158,68551,106079,51588,54489,28634,14570,14062,"465,776","235,088","230,683","332,760","168,151","164,606","133,016","66,937","66,077",28.92%,28.14%,29.72%,31.88%,30.68%,33.10%,21.53%,21.77%,21.28%,159,201,136,150,182,112,137,155,134,3,3,3,3,3,3,3,2,3,55.29,62.22,48.05,50.24,57.97,42.07,67.28,72.45,62.01,"134,713",567
Okara ,Okara ,,Punjab ,98317,48481,49831,64732,31025,33704,33585,17456,16127,"388,924","195,574","193,340","220,857","111,377","109,475","168,067","84,197","83,865",25.28%,24.79%,25.77%,29.31%,27.86%,30.79%,19.98%,20.73%,19.23%,123,162,112,120,162,100,112,135,100,2,2,2,2,2,2,2,1,2,63.34,69.01,57.40,53.39,61.32,45.12,75.11,78.07,72.02,"98,317",542
Renala Khurd ,Okara ,,Punjab ,31859,16526,15333,26614,13473,13141,5245,3053,2192,"144,642","73,152","71,490","117,680","59,234","58,446","26,962","13,918","13,044",22.03%,22.59%,21.45%,22.62%,22.75%,22.48%,19.45%,21.94%,16.80%,86,120,78,75,104,65,102,157,73,1,1,1,1,1,1,1,3,1,66.98,72.86,60.88,64.25,70.75,57.5,78.56,81.88,75.16,"31,859",297
Arif Wala ,Pakpattan ,,Punjab ,82310,39862,42445,68184,31740,36442,14126,8122,6003,"286,487","144,678","141,806","226,061","113,742","112,317","60,426","30,936","29,489",28.73%,27.55%,29.93%,30.16%,27.91%,32.45%,23.38%,26.25%,20.36%,157,194,140,129,163,110,163,219,121,1,2,1,1,1,1,2,2,2,58.24,65.54,50.67,54.8,63.13,46.2,70.84,74.26,67.23,"82,310",511
Pakpattan ,Pakpattan ,,Punjab ,93699,44710,48984,81361,37904,43456,12338,6806,5528,"325,897","164,743","161,148","254,034","128,804","125,228","71,863","35,939","35,920",28.75%,27.14%,30.40%,32.03%,29.43%,34.70%,17.17%,18.94%,15.39%,158,190,144,152,176,124,70,100,57,2,1,2,2,2,2,1,1,1,56.11,63.93,47.99,51.32,60.02,42.21,71.35,76.57,66.09,"93,699",534
Khanpur ,Rahim Yar Khan ,,Punjab ,143803,74200,69594,119123,61160,57959,24680,13040,11635,348349,"184,448","163,891","255,134","135,126","120,003","93,215","49,322","43,888",41.28%,40.23%,42.46%,46.69%,45.26%,48.30%,26.48%,26.44%,26.51%,250,302,220,233,290,200,201,220,179,1,2,1,1,1,1,3,3,3,50.08,57.02,42.66,44.39,52.12,36.11,64.38,69.33,59.11,"143,803",572
Liaqatpur ,Rahim Yar Khan ,,Punjab ,204083,104587,99489,194444,99698,94740,9639,4889,4749,"389,639","206,955","182,676","358,671","190,754","167,910","30,968","16,201","14,766",52.38%,50.54%,54.46%,54.21%,52.27%,56.42%,31.13%,30.18%,32.16%,347,400,302,297,348,247,243,265,224,4,4,4,3,3,3,4,4,4,38.35,45.83,30.27,36.11,43.75,27.84,61.59,67.48,55.35,"204,083",584
Rahim Yar Khan ,Rahim Yar Khan ,,Punjab ,225217,114617,110596,190709,96181,94527,34508,18436,16069,"538,667","285,198","253,464","370,424","196,181","174,241","168,243","89,017","79,223",41.81%,40.19%,43.63%,51.48%,49.03%,54.25%,20.51%,20.71%,20.28%,256,300,225,275,321,229,124,134,119,2,1,2,2,2,2,2,2,1,53.66,60.38,46.43,42.64,50.67,33.94,74.37,78.72,69.73,"225,217",587
Sadiqabad ,Rahim Yar Khan ,,Punjab ,208827,103853,104970,190645,94832,95809,18182,9021,9161,"430,131","227,536","202,590","337,771","179,669","158,098","92,360","47,867",44492,48.55%,45.64%,51.81%,56.44%,52.78%,60.60%,19.69%,18.85%,20.59%,312,357,282,313,352,279,107,98,123,3,3,3,4,4,4,1,1,2,47.04,54.88,38.46,38.5,47.41,28.61,72.87,78.07,67.44,"208,827",585
Rajanpur (Tribal Area),Rajanpur ,,Punjab ,12417,6587,5830,12417,6587,5830,0,0,0,"14,294","7,827","6,467","14,294","7,827","6,467",0,0,0,86.87%,84.16%,90.15%,86.87%,84.16%,90.15%,0.00%,0.00%,0.00%,580,585,573,543,548,533,1,1,1,4,4,4,4,4,4,1,1,1,8.6,12.36,4.14,8.6,12.36,4.14,-,-,-,"12,417",126
Jampur ,Rajanpur ,,Punjab ,183129,84192,98931,154402,70770,83631,28727,13422,15300,335918,"169,305","166,606","242,244","122,583","119,660","93,674","46,722","46,946",54.52%,49.73%,59.38%,63.74%,57.73%,69.89%,30.67%,28.73%,32.59%,365,393,337,384,405,350,236,251,226,2,2,2,2,2,2,3,3,3,38.07,46.11,29.86,29.63,38.11,20.92,56.53,63.79,49.22,"183,129",581
Rajanpur ,Rajanpur ,,Punjab ,140109,63644,76458,110572,49748,60817,29537,13896,15641,"287,419","143,910","143,502","188,982","94,859","94,116","98,437","49,051","49,386",48.75%,44.22%,53.28%,58.51%,52.44%,64.62%,30.01%,28.33%,31.67%,316,344,290,328,349,306,229,246,218,1,1,1,1,1,1,2,2,2,41.38,49.09,33.40,30.85,39.69,21.64,58.63,64.68,52.47,"140,109",570
Rojhan ,Rajanpur ,,Punjab ,107164,53127,54036,105676,52431,53244,1488,696,792,"148,606","79,436","69,169","144,071","77,207","66,863","4,535","2,229","2,306",72.11%,66.88%,78.12%,73.35%,67.91%,79.63%,32.81%,31.22%,34.35%,525,532,506,486,492,460,260,273,239,3,3,3,3,3,3,4,4,4,20.98,28.18,13.04,19.63,26.74,11.77,50.21,59.99,39.89,"107,164",551
Gujar Khan ,Rawalpindi ,,Punjab ,24477,10891,13583,18964,7930,11033,5513,2961,2550,192628,95202,"97,421","158,235","78,040","80,193","34,393","17,162","17,228",12.71%,11.44%,13.94%,11.98%,10.16%,13.76%,16.03%,17.25%,14.80%,14,12,21,12,10,23,53,69,51,5,5,5,5,5,5,6,6,5,79.72,86.44,73.29,79.68,87.03,72.68,79.94,83.46,76.45,"24,477",234
Kahuta ,Rawalpindi ,,Punjab ,4442,1902,2540,3204,1285,1919,1238,617,621,"58,026","28,519","29,507","38,509","18,785","19,724","19,517","9,734","9,783",7.66%,6.67%,8.61%,8.32%,6.84%,9.73%,6.34%,6.34%,6.35%,1,1,2,3,2,4,2,2,2,1,1,2,2,1,3,1,1,1,84.05,92,76.71,82.02,91.44,73.5,88.5,93.19,83.97,"4,442",33
Kallar Sayaddan ,Rawalpindi ,,Punjab ,5763,2611,3152,4244,1823,2421,1519,788,731,"59,055","29,284","29,770","44,285","21,997","22,287","14,770","7,287","7,483",9.76%,8.92%,10.59%,9.58%,8.29%,10.86%,10.28%,10.81%,9.77%,4,4,5,5,4,6,9,10,11,4,4,4,4,3,4,3,3,4,82.23,90.48,74.77,82.53,91.16,74.74,81.32,88.41,74.86,"5,763",46
Kotli Sattian ,Rawalpindi ,,Punjab ,2499,1275,1224,1875,883,992,624,392,232,"29,342","14,432","14,910","23,293","11,430","11,863","6,049","3,002","3,047",8.52%,8.83%,8.21%,8.05%,7.73%,8.36%,10.32%,13.06%,7.61%,2,3,1,2,3,2,10,20,4,2,3,1,1,2,1,4,4,2,88.2,94.71,81.49,87.87,94.58,80.91,89.57,95.22,83.81,"2,499",10
Murree ,Rawalpindi ,,Punjab ,5927,2749,3178,5379,2473,2906,548,276,272,"64,930","31,962","32,968","58,678","28,732","29,946","6,252","3,230","3,022",9.13%,8.60%,9.64%,9.17%,8.61%,9.70%,8.77%,8.54%,9.00%,3,2,3,4,5,3,5,3,8,3,2,3,3,4,2,2,2,3,84.79,90.88,78.59,84.59,90.81,78.34,86.86,91.59,81.33,"5,927",47
Rawalpindi ,Rawalpindi ,,Punjab ,163943,85959,77969,13961,5839,8122,149982,80120,69847,"939,727","474,549","465,152","99,475","49,164","50,311","840,252","425,385","414,841",17.45%,18.11%,16.76%,14.03%,11.88%,16.14%,17.85%,18.83%,16.84%,44,56,39,28,17,31,77,97,75,7,7,6,6,6,6,7,7,7,83.97,87.51,80.14,80.25,86.91,73.66,84.4,87.58,80.93,"163,943",577
Taxila ,Rawalpindi ,,Punjab ,32364,15444,16920,10395,4139,6256,21969,11305,10664,"193,096","96,519","96,576","54,101","27,189","26,912","138,995","69,330","69,664",16.76%,16.00%,17.52%,19.21%,15.22%,23.25%,15.81%,16.31%,15.31%,38,39,44,48,38,70,49,54,56,6,6,7,7,7,7,5,5,6,81.98,87.19,76.60,73.77,80.45,66.83,84.98,89.66,80.16,"32,364",300
Chichawatni ,Sahiwal ,,Punjab ,83415,37876,45534,78180,35046,43130,5235,2830,2404,"314,302","158,145","156,150","283,834","142,614","141,214","30,468","15,531","14,936",26.54%,23.95%,29.16%,27.54%,24.57%,30.54%,17.18%,18.22%,16.10%,136,145,132,108,123,98,71,90,65,1,1,2,1,1,1,1,1,1,65.25,71.77,58.61,63.05,70.03,55.95,84.61,86.97,82.17,"83,415",516
Sahiwal (Sahiwal),Sahiwal ,,Punjab ,126346,58492,67848,92213,40734,51475,34133,17758,16373,"470,979","238,076","232,895","301,653","152,851","148,796","169,326","85,225","84,099",26.83%,24.57%,29.13%,30.57%,26.65%,34.59%,20.16%,20.84%,19.47%,139,157,129,134,153,122,115,138,106,2,2,1,2,2,2,2,2,2,64.44,70.57,58.07,56.37,64.45,47.93,77.5,80.53,74.39,"126,346",565
Bhalwal ,Sargodha ,,Punjab ,17323,8929,8393,12924,6430,6493,4399,2499,1900,"104,494","51,608","52,885","65,872","32,342","33,529","38,622","19,266","19,356",16.58%,17.30%,15.87%,19.62%,19.88%,19.37%,11.39%,12.97%,9.82%,35,52,33,50,70,44,16,18,14,1,1,1,1,3,1,1,1,1,69.31,75.62,63.09,62.96,70.38,55.63,79.99,84.45,75.61,"17,323",177
Bhera ,Sargodha ,,Punjab ,18931,9456,9474,15047,7393,7653,3884,2063,1821,"102,901","51,716","51,184","73,428","36,794","36,633","29,473","14,922","14,551",18.40%,18.28%,18.51%,20.49%,20.09%,20.89%,13.18%,13.83%,12.51%,49,60,50,58,73,55,29,29,30,2,2,3,5,5,4,3,2,4,67.37,74.83,59.80,62.1,70.36,53.71,79.95,85.47,74.32,"18,931",190
Kot Momin ,Sargodha ,,Punjab ,37763,18817,18945,33724,16679,17045,4039,2138,1900,"154,646","78,520","76,124","136,631","69,422","67,208","18,015","9,098","8,916",24.42%,23.96%,24.89%,24.68%,24.03%,25.36%,22.42%,23.50%,21.31%,113,146,107,87,117,79,148,179,135,7,7,7,7,7,7,7,7,7,56.33,64.43,47.82,55.01,63.52,46.06,66.08,71.17,60.77,"37,763",341
Sahiwal (Sargodha),Sargodha ,,Punjab ,19753,9964,9787,16554,8157,8395,3199,1807,1392,"106,823","53,725","53,095","81,421","40,744","40,674","25,402","12,981","12,421",18.49%,18.55%,18.43%,20.33%,20.02%,20.64%,12.59%,13.92%,11.21%,50,62,49,56,72,53,23,30,22,3,3,2,3,4,3,2,3,2,63.34,73.52,52.97,60.23,71.1,49.16,73.59,81.44,65.56,"19,753",193
Sargodha ,Sargodha ,,Punjab ,90775,47123,43647,44797,22794,22001,45978,24329,21646,"474,601","239,591","235,002","198,666","99,808","98,855","275,935","139,783","136,147",19.13%,19.67%,18.57%,22.55%,22.84%,22.26%,16.66%,17.40%,15.90%,56,78,51,74,105,64,59,71,61,5,6,4,6,6,6,6,6,6,71.82,76.61,66.86,63.33,70.29,56.12,77.56,80.87,74.14,"90,775",527
Shahpur ,Sargodha ,,Punjab ,21366,10366,11000,17788,8372,9416,3578,1994,1584,"110,589","55,803","54,786","87,118","43,779","43,339","23,471","12,024","11,447",19.32%,18.58%,20.08%,20.42%,19.12%,21.73%,15.24%,16.58%,13.84%,58,63,66,57,63,62,44,58,40,6,4,6,4,1,5,5,5,5,61.85,72.19,51.03,59.51,70.59,48.02,70.22,77.83,62.05,"21,366",209
Sillanwali ,Sargodha ,,Punjab ,20762,10398,10362,18925,9421,9504,1837,977,858,"108,625","54,181","54,442","94,842","47,446","47,396","13,783","6,735","7,046",19.11%,19.19%,19.03%,19.95%,19.86%,20.05%,13.33%,14.51%,12.18%,55,70,55,51,69,48,30,36,27,4,5,5,2,2,2,4,4,3,63.07,71.01,54.94,61.04,69.26,52.63,76.51,82.58,70.26,"20,762",203
Ferozewala ,Sheikhupura ,,Punjab ,83323,43431,39836,53381,27425,25914,29942,16006,13922,"279,876","143,154","136,644","187,371","95,218","92,093","92,505","47,936","44,551",29.77%,30.34%,29.15%,28.49%,28.80%,28.14%,32.37%,33.39%,31.25%,172,218,131,111,172,89,257,290,215,5,5,5,5,5,5,5,5,5,66.55,69.2,63.67,66.19,69.12,63.03,67.26,69.34,64.95,"83,323",515
Muridke ,Sheikhupura ,,Punjab ,46161,24280,21874,27840,14247,13591,18321,10033,8283,"208,197","104,392","103,796","117,574","58,946","58,626","90,623","45,446","45,170",22.17%,23.26%,21.07%,23.68%,24.17%,23.18%,20.22%,22.08%,18.34%,90,131,72,82,119,69,116,159,93,3,3,2,4,4,4,3,3,3,69.1,71.93,66.13,64.01,67.56,60.24,75.21,77.29,73.08,"46,161",392
Safdarabad ,Sheikhupura ,,Punjab ,20000,10349,9646,13563,6747,6812,6437,3602,2834,"88,695","44,384","44,297","63,483","31,568","31,903","25,212","12,816","12,394",22.55%,23.32%,21.78%,21.36%,21.37%,21.35%,25.53%,28.11%,22.87%,95,132,81,65,89,57,188,241,153,4,4,4,1,1,1,4,4,4,67.55,72.25,62.81,67.45,72.79,62.05,67.82,70.83,64.78,"20,000",197
